Heading,Sensor,Plot,ID,Depth.cm
P1_reftemp_1,Soil temp,1,1,10
P1_reftemp_2,Soil temp,1,2,10
P1_reftemp_3,Soil temp,1,3,10
P1_reftemp_4,Soil temp,1,4,10
P2_reftemp_1,Soil temp,2,1,10
P2_reftemp_2,Soil temp,2,2,10
P2_reftemp_3,Soil temp,2,3,10
P2_reftemp_4,Soil temp,2,4,10
P1_reftemp_5,Soil temp,1,5,5
P1_reftemp_6,Soil temp,1,6,5
P1_reftemp_7,Soil temp,1,7,30
P2_reftemp_5,Soil temp,2,5,5
P2_reftemp_6,Soil temp,2,6,5
P2_reftemp_7,Soil temp,2,7,30
RH_temp,Air Temp,NA,NA,NA
RH,Rel Humid,NA,NA,NA
P1_soilmoist_1,Soil VWC,1,1,15
P1_soilmoist_2,Soil VWC,1,2,15
P2_soilmoist_1,Soil VWC,2,1,15
P2_soilmoist_2,Soil VWC,2,2,15
P3_1_Avg,Soil temp,3,1,5
P3_2_Avg,Soil temp,3,2,10
P3_3_Avg,Soil temp,3,3,10
P3_4_Avg,Soil temp,3,4,10
P3_5_Avg,Soil temp,3,5,10
P3_6_Avg,Soil temp,3,6,10
P3_7_Avg,Soil temp,3,7,5
P3_8_Avg,Soil temp,3,8,10
P4_1_Avg,Soil temp,4,1,5
P4_2_Avg,Soil temp,4,2,10
P4_3_Avg,Soil temp,4,3,10
P4_4_Avg,Soil temp,4,4,10
P4_5_Avg,Soil temp,4,5,10
P4_6_Avg,Soil temp,4,6,10
P4_7_Avg,Soil temp,4,7,5
P4_8_Avg,Soil temp,4,8,10
P5_1_Avg,Soil temp,5,1,5
P5_2_Avg,Soil temp,5,2,10
P5_3_Avg,Soil temp,5,3,10
P5_4_Avg,Soil temp,5,4,10
P5_5_Avg,Soil temp,5,5,10
P5_6_Avg,Soil temp,5,6,10
P5_7_Avg,Soil temp,5,7,5
P5_8_Avg,Soil temp,5,8,10
P6_1_Avg,Soil temp,6,1,5
P6_2_Avg,Soil temp,6,2,10
P6_3_Avg,Soil temp,6,3,10
P6_4_Avg,Soil temp,6,4,10
P6_5_Avg,Soil temp,6,5,10
P6_6_Avg,Soil temp,6,6,10
P6_7_Avg,Soil temp,6,7,5
P6_8_Avg,Soil temp,6,8,10
D30cm_1_Avg,Soil temp,3,9,30
D30cm_2_Avg,Soil temp,4,9,30
D30cm_3_Avg,Soil temp,5,9,30
D30cm_4_Avg,Soil temp,6,9,30
P3_VWC_1_Avg,Soil VWC,3,1,15
P3_VWC_2_Avg,Soil VWC,3,2,15
P3_VWC_ref_Avg,Soil VWC,3,3,15
P3_VWC_4_Avg,Soil VWC,3,4,15
P3_VWC_5_Avg,Soil VWC,3,5,15
P4_VWC_1_Avg,Soil VWC,4,1,15
P4_VWC_2_Avg,Soil VWC,4,2,15
P4_VWC__ref_Avg,Soil VWC,4,3,15
P4_VWC_4_Avg,Soil VWC,4,4,15
P4_VWC_5_Avg,Soil VWC,4,5,15
P5_VWC_1_Avg,Soil VWC,5,1,15
P5_VWC_2_Avg,Soil VWC,5,2,15
P5_VWC_ref_Avg,Soil VWC,5,3,15
P5_VWC_4_Avg,Soil VWC,5,4,15
P5_VWC_5_Avg,Soil VWC,5,5,15
P6_VWC_1_Avg,Soil VWC,6,1,15
P6_VWC_2_Avg,Soil VWC,6,2,15
P6_VWC_ref_Avg,Soil VWC,6,3,15
P6_VWC_4_Avg,Soil VWC,6,4,15
P6_VWC_5_Avg,Soil VWC,6,5,15
RH_temp_Avg,Air Temp,NA,NA,NA
RH_Avg,Rel Humid,NA,NA,NA